block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
1,114,chicken,chicken_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it eat grain?
1,115,swan,swan_3.wav,nomask,nonvisual,no,nonvisual-no,1,Is it used by riding?
1,116,donkey,donkey_3.wav,nomask,visual,yes,visual-yes,1,Does it have legs?
1,117,table,table_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it found in kitchens?
1,118,dog,dog_1.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
1,119,giraffe,giraffe_1.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live in Africa?
1,120,pineapple,pineapple_3.wav,nomask,visual,yes,visual-yes,4,Is it yellow inside?
1,121,grasshopper,grasshopper_1.wav,mask,visual,yes,visual-yes,3,Does it have long legs?
1,122,apple,apple_3.wav,nomask,nonvisual,no,nonvisual-no,2,Does it live in Africa?
1,123,penguin,penguin_2.wav,mask,visual,no,visual-no,2,Does it have a tail?
1,124,deer,deer_1.wav,mask,visual,yes,visual-yes,4,Does it have hooves?
1,125,pineapple,pineapple_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Is it prickly?
1,126,table,table_4.wav,nomask,visual,no,visual-no,1,Does it have a neck?
1,127,giraffe,giraffe_4.wav,mask,visual,yes,visual-yes,1,Does it have spots?
1,128,mouse,mouse_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it used in experiments?
1,129,deer,deer_2.wav,mask,visual,no,visual-no,1,Is it yellow?
1,130,rabbit,rabbit_2.wav,mask,visual,yes,visual-yes,1,Does it have ears?
1,131,strawberry,strawberry_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
1,132,dog,dog_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it used for protection?
1,133,pig,pig_2.wav,mask,visual,no,visual-no,2,Does it have wings?
1,134,alligator,alligator_1.wav,nomask,visual,no,visual-no,4,Is it small?
1,135,dog,dog_2.wav,mask,nonvisual,no,nonvisual-no,5,Does it lay eggs?
1,136,giraffe,giraffe_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it eat leaves?
1,137,strawberry,strawberry_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it used for making jam?
1,138,dog,dog_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it chase cats?
1,139,rabbit,rabbit_4.wav,mask,visual,no,visual-no,4,Is it flat?
1,140,tiger,tiger_4.wav,nomask,visual,yes,visual-yes,5,Does it have large teeth?
1,141,donkey,donkey_1.wav,nomask,visual,yes,visual-yes,4,Does it have hooves?
1,142,rabbit,rabbit_3.wav,nomask,nonvisual,no,nonvisual-no,1,Does it live in zoos?
1,143,apple,apple_1.wav,mask,visual,yes,visual-yes,3,Does it have seeds?
1,144,pig,pig_4.wav,mask,nonvisual,no,nonvisual-no,1,Is it tropical?
1,145,lion,lion_2.wav,mask,nonvisual,no,nonvisual-no,3,Does it waddle?
1,146,dog,dog_4.wav,nomask,visual,no,visual-no,1,Does it have antlers?
1,147,pig,pig_1.wav,nomask,visual,no,visual-no,1,Is it made of glass?
1,148,lion,lion_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it a mammal?
1,149,penguin,penguin_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it unable to fly?
2,150,dog,dog_2.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it bark?
2,151,lion,lion_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it roar?
2,152,raccoon,raccoon_4.wav,nomask,visual,yes,visual-yes,4,Does it have stripes?
2,153,donkey,donkey_1.wav,nomask,visual,yes,visual-yes,2,Does it have four legs?
2,154,penguin,penguin_1.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in the Arctic?
2,155,swan,swan_1.wav,mask,visual,yes,visual-yes,2,Does it have a beak?
2,156,strawberry,strawberry_2.wav,mask,nonvisual,no,nonvisual-no,3,Is it furniture?
