cue,ftype,qid,question,response,question_id,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max
chair,nonvisual,4,Is it used in circuses?,no,chair:nonvisual:4:no,7.0,0.42857142857142855,0.5345224838248488,0.0,1.0,1.5714285714285714,0.9759000729485333,0.0,3.0,-0.5714285714285714,0.5345224838248488,-1.0,0.0,0.7142857142857143,0.9511897312113419,0.0,2.0
chair,nonvisual,5,Is it an animal?,no,chair:nonvisual:5:no,4.0,-2.0,0.0,-2.0,-2.0,1.5,1.2909944487358056,0.0,3.0,-1.75,0.5,-2.0,-1.0,1.25,1.5,0.0,3.0
chair,visual,1,Is it long?,no,chair:visual:1:no,7.0,-0.7142857142857143,0.7559289460184544,-2.0,0.0,1.4285714285714286,1.1338934190276817,0.0,3.0,-1.5714285714285714,0.5345224838248489,-2.0,-1.0,0.0,0.0,0.0,0.0
chair,visual,2,Does it have a tail?,no,chair:visual:2:no,6.0,-2.0,0.0,-2.0,-2.0,0.3333333333333333,0.5163977794943223,0.0,1.0,-2.0,0.0,-2.0,-2.0,0.16666666666666666,0.408248290463863,0.0,1.0
chair,visual,3,Does it have a snout?,no,chair:visual:3:no,6.0,-1.5,0.8366600265340756,-2.0,0.0,0.8333333333333334,0.983192080250175,0.0,2.0,-1.3333333333333333,1.0327955589886446,-2.0,0.0,0.6666666666666666,1.2110601416389968,0.0,3.0
chair,visual,4,Is it orange?,no,chair:visual:4:no,4.0,-0.75,0.9574271077563381,-2.0,0.0,2.25,1.5,1.0,4.0,-1.75,0.5,-2.0,-1.0,0.0,0.0,0.0,0.0
chair,visual,5,Does it have a tail?,no,chair:visual:5:no,5.0,-0.8,1.7888543819998317,-2.0,2.0,3.2,1.095445115010332,2.0,4.0,-1.8,0.44721359549995815,-2.0,-1.0,1.2,1.7888543819998317,0.0,4.0
chicken,nonvisual,1,Does it lay eggs?,yes,chicken:nonvisual:1:yes,6.0,1.6666666666666667,0.5163977794943221,1.0,2.0,2.8333333333333335,1.6020819787597222,0.0,4.0,-1.3333333333333333,1.632993161855452,-2.0,2.0,2.5,1.9748417658131499,0.0,4.0
chicken,nonvisual,2,Does it live on a farm?,yes,chicken:nonvisual:2:yes,5.0,1.4,0.547722557505166,1.0,2.0,1.2,0.8366600265340756,0.0,2.0,-1.2,0.8366600265340756,-2.0,0.0,0.8,0.8366600265340756,0.0,2.0
chicken,nonvisual,3,Does it eat grain?,yes,chicken:nonvisual:3:yes,4.0,1.5,0.5773502691896257,1.0,2.0,1.25,0.9574271077563381,0.0,2.0,-1.0,1.4142135623730951,-2.0,1.0,0.75,0.9574271077563381,0.0,2.0
